,0,0
5681,Yb0.9Pr0.1Ba1.7Sr0.3Cu3O6.9,81
2644,Y0.8Ca0.2Ba2Cu3O6.53,80.9
1042,Y1Ba1Sr1Cu3O6.93,80.8
3408,Y1Ba1.65Sr0.35Cu4O8,80.8
180,Y0.975Ca0.025Ba2Cu4O8,80.75
826,Dy1Ba1.6Sr0.4Cu3O6.89,80.6
3414,Y0.85Ca0.15Ba2Cu3O6.58,80.6
4667,Y0.85Ca0.15Ba2Cu2.75Co0.25O7.01,80.6
90,Y1Ba2Cu3O6.861,80.5
612,Bi1.7Pb0.3Sr2Ca1Cu2O8,80.5
690,Y1Ba2Cu2.9Ni0.1O6.92,80.5
1283,Bi1.7Pb0.3Sr2Ca1Cu2O8.05,80.5
1957,Y1Ba0.74Sr1.26Cu3O6.98,80.5
2408,Y1Ba2Cu2.9Fe0.1O7,80.5
2522,Y1Ba2Cu3O6.894,80.5
3643,Pb2Sr2Ho0.5Ca0.5Cu2.94Pt0.06O8,80.4
978,Y1Ba2Cu2.979Zn0.021O7,80.2
1305,Y1Ba1Sr1Cu3O6.899,80.2
2239,Yb1Ba1.6Sr0.4Cu3O6.88,80.2
61,Sm1Ba1Sr1Cu3O6.94,80
176,Lu0.7Ca0.3Ba2Cu3O6.62,80
194,Y1Ba2Cu2.97Zn0.03O6.98,80
462,Y1Ba2Cu2.5Fe0.5O7.413,80
741,Y1Ba2Cu2.95Ni0.05O6.93,80
840,Er0.97Ca0.03Ba2Cu4O8,80
1373,La1Ba1.75Ca0.25Cu3O6.951,80
1379,Y1Ba2Cu2.5Fe0.5O7.35,80
1643,Nd1.2Ba1.8Cu3O6.96,80
1991,Fe0.5Ba2Y1Cu2.5O7.41,80
2051,Y1Ba0.75Sr1.25Cu3O6.91,80
2387,Ba1.6Sr0.4Yb0.95Ca0.05Cu3O6.76,80
2683,Yb1Ba1.2Sr0.8Cu4O8,80
2900,Y0.9Ca0.1Ba2Cu3O6.66,80
3169,Eu1Ba1Sr1Cu3O6.94,80
3216,Y0.8Ca0.2Ba1.5La0.5Cu3O7.11,80
3683,Yb0.85Pr0.15Ba1.7Sr0.3Cu3O6.91,80
3796,Yb1Ba1.4Sr0.6Cu4O8,80
4206,La1.2Ba1.8Cu3O6.98,80
4549,Yb1Ba1.6Sr0.4Cu4O8,80
4618,Ba1.6Sr0.4Yb0.95Ca0.05Cu3O6.8,80
62,Yb0.8Pr0.2Ba2Cu3O6.88,79.9
770,La1Ba1.25Ca0.75Cu3O6.958,79.9
4076,La1Ba1.5Ca0.5Cu3O6.96,79.9
5055,Er0.85Hf0.15Ba2Cu3O6.813,79.9
5230,Y1Ba2Cu2.88Ga0.12O7,79.89
5108,Tm1Ba2Cu3O6.8,79.8
841,Y1Ba1.972Ca0.028Cu4O8,79.7
4079,Y1Ba2Cu4O7.986,79.6
632,Gd0.8Hf0.2Ba2Cu3O6.79,79.5
995,Dy1Ba1Sr1Cu3O6.89,79.5
3116,Y1Ba1.6Sr0.4Cu4O8,79.5
3159,Bi1Pb1Sr2Y0.4Ca0.6Cu2O8,79.5
4233,Er0.85Ca0.15Ba2Cu3O6.93,79.5
4955,Y1Ba1.46Sr0.54Cu4O8,79.5
4910,Eu0.9Pr0.1Ba2Cu3O6.95,79.45
2906,Y0.8Pr0.2Ba1Sr1Cu3O6.9,79.4
347,Er0.99Ca0.01Ba2Cu4O8,79.3
1442,Y1Ba2Cu2.82Ga0.18O7,79.24
2371,Y0.85Pr0.15Ba2Cu3O6.98,79.2
2752,Tm0.99Ca0.01Ba2Cu4O8,79.2
1063,Y1Ba1.4Sr0.6Cu4O8,79.16666667
5294,Y1Ba2Cu2.97Zn0.03O6.97,79.1
60,Y0.85Ca0.15Ba2Cu3O6.9,79
1029,Y0.95Sc0.05Ba2Cu4O8,79
1404,Y0.1La0.9Ba2Cu3O7.05,79
1975,Y1Ba1.6Sr0.4Cu4O7.9,79
3521,Eu1Ba2Cu2.95Ga0.05O6.78,79
3673,Y0.8Ca0.2Ba2Cu3O6.86,79
4042,Y1Ba1Sr1Cu3O6.94,79
4211,La1Gd1Ba2Ca2Cu6O14.1,79
4865,Lu0.9Pr0.1Ba1.7Sr0.3Cu3O6.95,79
5049,Ba1.6Sr0.4Yb0.65Ca0.35Cu3O6.52,79
5692,La1Er1Ba2Ca2Cu6O14.122,79
1756,Er0.8Hf0.2Ba2Cu3O6.772,78.8
1655,Y0.99Ca0.01Ba2Cu4O8,78.7
2420,Nd1Ba2Cu3O6.86,78.6
2889,Y1Ba1.4Sr0.6Cu4O7.8,78.5
3426,Nd1Ba1.6Sr0.4Cu3O6.721,78.5
3769,Bi1.7Pb0.3Sr2Ca0.96Y0.04Cu2O8.06,78.5
43,Y1Ba2Cu2.85Ga0.15O7,78.49
3877,Y1Ba2Cu3.99Ni0.01O8,78.4
911,Y0.87Pr0.13Ba2Cu3O7,78.35
3455,Y1Ba2Cu4O7.9,78.3
5074,Y1Ba2Cu2.94Co0.06O7,78.3
565,Er1Ba2Cu3O6.78,78.2
4379,Y0.8Ca0.2Ba2Cu3O6.89,78.2
4154,Y1Ba2Cu3O6.876,78.1
367,Dy1Ba2Cu2.94Fe0.06O6.88,78
845,Y0.85Ca0.15Ba2Cu3O6.71,78
1366,Ba1.6Sr0.4Yb0.65Ca0.35Cu3O6.53,78
1715,Y0.75Eu0.25Ba2Cu4O8,78
2077,Y1Ba0.5Sr1.5Cu3O6.98,78
2867,Lu0.8Ca0.2Ba2Cu3O6.68,78
3127,Y0.8Ca0.2Ba1.8La0.2Cu3O6.96,78
3229,Y0.7Ca0.3Ba1.7La0.3Cu3O6.96,78
3243,Bi2Sr2Ca1Cu1.98Ni0.02O8,78
3467,Y0.6Ca0.4Ba1.6La0.4Cu3O6.96,78
3957,Er1Ba1Sr1Cu3O6.94,78
4209,Tm1Ba2Cu3O6.71,78
4986,Y1Ba1.8Sr0.2Cu4O7.9,78
5239,Y1Ba2Cu3.996Ni0.004O8,78
5620,Y0.7Ca0.3Ba2Cu3O6.78,78
5678,La1Ba1.5Ca0.5Cu3O7.011,78
2850,Tm0.8Pr0.2Ba2Cu3O6.95,77.9
3480,Y1Ba2Cu3.98Ga0.02O8,77.75
5356,Y1Ba1.8Sr0.2Cu4O8,77.7
317,Nd1.08Ba1.92Cu3O6.17,77.5
2140,Y1Ba2Cu3.96Ga0.04O8,77.5
2365,Y1Ba2Cu4O7.8,77.5
3929,Er0.88Ca0.12Ba2Cu2.82Co0.18O6.93,77.5
4427,Ho0.97Ca0.03Ba2Cu4O8,77.4
5333,Dy0.85Pr0.15Ba2Cu3O6.9,77.4
5279,Sm1.15Ba1.85Cu3O6.95,77.3
1491,Y1Ba2Cu2.85Ni0.15O6.97,77.2
3718,Dy1Ba1Sr1Cu3O6.9,77.05
1337,Y0.95Pr0.05Ba2Cu4O8,77
1388,Eu1Ba2Cu3O6.76,77
2701,Y1Ba1Sr1Cu2.975Sn0.025O6.92,77
2824,Pb2Sr2Y0.61Ca0.39Cu3O8,77
2948,Nd0.8Ca0.2Ba1Sr1Cu3O6.78,77
3335,Ba1.6Sr0.4Yb0.65Ca0.35Cu3O6.63,77
3465,Y1Ba2Cu2.97Zn0.03O6.85,77
3735,Y0.5Eu0.5Ba2Cu4O8,77
3882,Bi2Sr2Ca1Cu1.97Ni0.03O8,77
5177,Lu0.85Pr0.15Ba1.7Sr0.3Cu3O6.91,77
5638,Hg0.8Nd0.2Ba2Cu1O4.3,77
3433,Y1Ba2Cu2.79Ga0.21O7,76.91
927,Y0.9Ca0.1Ba2Cu2.75Co0.25O7.03,76.9
3532,Ho0.99Ca0.01Ba2Cu4O8,76.8
5615,Nd1.15Ba1.85Cu3O6.96,76.8
1686,Y0.8Ca0.2Ba2Cu3O6.7,76.7
868,Y1Ba2Cu2.94Fe0.06O6.954,76.6
1378,Bi2Sr2Ca0.9Y0.1Cu2O8,76.5
3763,Er0.8Ca0.2Ba2Cu3O6.91,76.5
4817,Gd1Ba1Sr1Cu3O6.9371,76.5
536,Y1Ba2Cu2.95Fe0.05O6.84,76.4
5131,Er0.8Pr0.2Ba2Cu3O7,76.4
5240,La1Ba1Ca1Cu3O6.98,76.35
3155,Y1Ba1Sr1Cu2.975Sn0.025O6.91,76.3
806,Ba1.6Sr0.4Yb0.85Ca0.15Cu3O6.83,76
1008,Bi2Sr2Ca0.6Y0.4Cu2O8.36,76
1025,Y1Ba2Cu2.85Fe0.15O7.02,76
1199,La1Ba1.5Ca0.5Cu3O6.85,76
1367,Nd1.1Ba1.9Cu3O6.935,76
1576,Y1Ba1.76Sr0.24Cu4O8,76
2017,Bi1Pb1Sr2Y0.65Ca0.35Cu2O8,76
2944,Yb0.8Pr0.2Ba1.7Sr0.3Cu3O6.92,76
3363,La1Ba1.5Ca0.5Cu3O7.079,76
3909,La1Ba2Cu3O6.89,76
4425,Hg1Tl1Ba2Ca2Cu3O10,76
4923,Ca1Ba1La1Cu3O6.85,76
5705,Pb2Sr2Y0.53Ca0.47Cu3O8,76
5347,Y1Ba2Cu3O6.765,75.8
4150,Bi1.7Pb0.3Sr2Ca1Cu2O8.23,75.75
3885,Y1Ba1Sr1Cu3O6.88,75.6
5089,Y1Ba2Cu2.82Fe0.18O6.95,75.6
3423,Pb2Sr2Ho0.5Ca0.5Cu3O8,75.56666667
2055,Y0.925Ca0.075Ba2Cu3O6.68,75.1
2375,Y0.95Ca0.05Ba2Cu2.75Co0.25O7.06,75.1
28,Sr1.84Ba0.16Cu1O3.4,75
182,Y1Ba2Cu2.85Ni0.15O6.84,75
255,Lu0.8Pr0.2Ba1.7Sr0.3Cu3O6.93,75
458,La1Ba1Ca1Cu3O6.99,75
586,La1Ba1.1Ca0.9Cu3O7.02,75
682,Y0.25Eu0.75Ba2Cu4O8,75
1651,Gd1Ba2Cu2.91Fe0.09O6.94,75
2755,Y0.85Pr0.15Ba2Cu3O6.84,75
2842,Y1Ba2Cu2.9Al0.1O7,75
3329,Y1Ba2Cu2.94Zn0.06O6.93,75
3398,Eu1Ba1Sr0.8Ca0.2Cu3O6.95,75
3536,Y1Ba2Cu2.7Ga0.3O6.93,75
3558,Bi1Pb1Sr2Y0.3Ca0.7Cu2O8,75
3894,Y0.95Ga0.05Ba2Cu4O8,75
4047,Er1Ba2Cu3O6.6,75
4052,Fe0.5Ba2Dy1Cu2.5O7.52,75
4157,Nd1Ba1.4Sr0.6Cu3O6.94,75
4298,Hg1Ba2Cu0.97Zn0.03O4.063,75
4676,Y0.868Ca0.132Ba2Cu3O6.928,75
4990,Eu1Ba1Sr0.7Ca0.3Cu3O6.95,75
2614,Y1Ba2Cu2.9Fe0.1O6.9,74.9
152,Y1Ba2Cu2.91Zn0.09O6.9,74.6
2095,Hg1.4Tl0.6Ba2Y0.7Ca0.3Cu2O7.81,74.5
2753,Y1Ba2Cu3.92Ga0.08O8,74.5
3264,Y1Ba1.98La0.02Cu4O8,74.3
4159,Gd0.9Pr0.1Ba2Cu3O6.95,74.3
165,Y0.9Ga0.1Ba2Cu4O8,74
213,Nd1Ba1Sr1Cu3O6.94,74
1524,Y1Ba0.75Sr1.25Cu3O6.94,74
1563,La1Ba1.2Ca0.8Cu3O6.95,74
2558,Pb2Sr2Eu0.75Ca0.25Cu3O8,74
2655,La1Ba1.4Ca0.6Cu3O6.9,74
2749,Bi2Sr2Ca0.65Y0.35Cu2O8.3,74
2839,Ba1.6Sr0.4Yb0.75Ca0.25Cu3O6.68,74
2898,Y1Ba2Cu3O6.883,74
3829,La1Ba2Cu3O6.95,74
3918,Y0.8Pr0.2Ba2Cu4O7.95,74
4508,Bi2Sr2Ca1Cu1.952Ni0.048O8,74
4738,Y1Ba2Cu2.82Fe0.18O7,74
4182,Y1Ba2Cu2.95Zn0.05O6.94,73.9
1049,Y1Ba1Sr1Cu2.95Sn0.05O6.96,73.8
2536,Ca0.7Nd0.3Ba1La1Cu3O7.04,73.8
3988,Ca0.8Nd0.2Ba1La1Cu3O6.99,73.8
5095,Ca0.9Nd0.1Ba1La1Cu3O6.87,73.8
118,Bi1.9Pb0.1Sr2Ca1Cu2O8.2,73.5
1880,Yb0.7Pr0.3Ba2Cu3O6.97,73.5
2849,Lu0.7Pr0.3Ba2Cu3O7,73.5
4109,Y1Ba2Cu3.88Ga0.12O8,73.5
710,Y1Ba2Cu3.98Co0.02O8,73.3
5598,Y1Ba2Cu3.99Zn0.01O8,73.3
76,Y1Ba2Cu2.9Co0.1O6.82,73
131,Pb2Sr2Eu0.8Ca0.2Cu3O8,73
370,Y0.7Ca0.3Ba1.3La0.7Cu3O7.16,73
1135,Y1Ba2Cu2.7Ni0.3O6.88,73
1202,Pb2Sr2Eu0.7Ca0.3Cu3O8,73
1261,La1Ba1.3Ca0.7Cu3O6.92,73
1528,Y0.8Ca0.2Ba1.5La0.5Cu3O7.13,73
3237,Y0.9Ca0.1Ba2Cu3O6.7,73
3659,Bi1.7Pb0.3Sr2Ca0.7Y0.3Cu2O8.26,73
4294,La0.8Ca0.2Ba1.5Sr0.5Cu3O6.794,73
4681,Ba1.6Sr0.4Yb0.65Ca0.35Cu3O6.45,73
4728,Y1Ba2Cu2.85Ni0.15O6.9,73
4880,Y1Ba2Cu2.7Al0.3O6.99,73
5145,Eu1Ba1.9Pr0.1Cu3O6.75,73
5254,Nd1Ba1.8Ca0.2Cu3O6.866,73
5313,Er1Ba2Cu2.94Co0.06O6.8,73
4522,Y1Ba1.5Sr0.5Cu3O6.85,72.9
4985,Y1Ba2Cu2.975Zn0.025O6.85,72.85
4788,Eu1Ba2Cu2.9Co0.1O6.97,72.7
2917,Y0.8Pr0.2Ba2Cu3O6.98,72.6
3579,La1Ba1.75Sr0.25Cu3O6.946,72.5
5312,Y1Ba2Cu2.9Ni0.1O6.93,72.5
3212,Y0.8Pr0.2Ba2Cu3O6.96,72.35
3149,Y0.85Pr0.15Ba2Cu4O8,72.3
5492,Y0.8Ca0.2Ba2Cu3O6.6,72.1
3347,Y0.9Pr0.1Ba2Cu4O8,72.025
572,Fe0.5Ba2Yb1Cu2.5O7.45,72
1641,Fe0.5Ba2Er1Cu2.5O7.46,72
2066,La1Ba1.5Ca0.5Cu3O7.112,72
2914,Er1Ba2Cu2.82Fe0.18O6.97,72
2990,Fe0.5Ba2Gd1Cu2.5O7.45,72
4080,Y0.9Ca0.1Ba1.6La0.4Cu3O7.09,72
5382,Y1Ba2Cu2.955Fe0.045O6.89,72
2369,Y1Ba2Cu2.76Ga0.24O7,71.79
1949,Y0.8Ca0.2Ba2Cu3O7,71.6
2426,Y0.8Pr0.2Ba2Cu3O6.82,71.6
3450,Y1Ba2Cu2.76Ni0.24O7,71.5
4433,Bi1.7Pb0.3Sr2Ca0.7Y0.3Cu2O8.25,71.5
3999,Y1Ba2Cu3.84Ga0.16O8,71.25
2234,Y1Ba2Cu3O6.773,71.2
35,La1Ba0.9Ca1.1Cu3O7.05,71
186,Pb2Sr2Eu0.85Ca0.15Cu3O8,71
360,Pb2Sr2Eu0.65Ca0.35Cu3O8,71
560,Y1Ba2Cu2.94Zn0.06O6.96,71
930,Gd0.96Ca0.04Ba1Sr1Cu3O6.9138,71
986,Y0.95Ca0.05Ba2Cu3O6.7,71
3383,Y1Ba2Cu2.9Fe0.1O6.929,71
4561,Y1Ba2Cu2.85Co0.15O6.92,71
4663,La0.85Ca0.15Ba1.5Sr0.5Cu3O6.819,71
4909,Yb0.75Pr0.25Ba1.7Sr0.3Cu3O6.92,71
5338,La0.75Sm0.25Ba1Ca1Cu3O7,71
5587,Nd0.9Ca0.1Ba1Sr1Cu3O6.85,71
5677,Y0.975Ca0.025Ba2Cu3O6.72,70.8
5264,Gd0.99Ca0.01Ba1Sr1Cu3O6.9198,70.5
1894,Y1Ba2Cu3.97Ni0.03O8,70.4
1048,Y1Ba2Cu3.8Ga0.2O8,70.25
3027,Y1Ba2Cu2.955Zn0.045O7,70.1
72,Y0.8Pr0.2Ba2Cu3O6.965,70
439,Tm1Ba1Sr1Cu3O6.94,70
825,Dy1Ba2Cu2.9Fe0.1O6.84,70
1724,Y1Ba2Cu3.985Zn0.015O7.95,70
2563,Dy1Ba2Cu2.96Zn0.04O6.9,70
4410,Y1Ba2Cu2.9Ni0.1O6.95,70
5536,Sm1Ba2Cu2.96Zn0.04O6.83,70
2417,Bi1.7Pb0.3Sr2Ca0.8Y0.2Cu2O8,69.7
583,Y1Ba2Cu2.9Ni0.1O6.88,69.5
121,Y1Ba2Cu2.835Fe0.165O6.98,69.3
1332,Y1Ba1Sr1Cu2.9Sn0.1O7,69.1
455,Hg1Ba2Cu0.97Zn0.03O4.052,69
1325,Pb2Sr2Eu0.9Ca0.1Cu3O8,69
1680,Er1Ba2Cu2.94Zn0.06O6.92,69
2769,Nd1.3Ba1.7Cu3O7,69
3522,Y1Ba2Cu3O6.702,69
3805,Y0.8Ga0.2Ba2Cu4O8,69
4317,La1Ca1Ba1Cu3O7,69
4783,Y1Ba2Cu2.7Fe0.3O7.1,69
4787,Y1Ba2Cu2.73Fe0.27O7.1,69
2887,Y1Ba2Cu3.98Ni0.02O8,68.8125
429,Y0.95Ca0.05Ba1.9La0.1Cu4O7.9,68.8
4837,Y0.9Ca0.1Ba2Cu3O6.59,68.8
5411,Ho1Sr0.2Ba1.8Cu4O8,68.8
8,Hg1.4Tl0.6Ba2Y0.4Ca0.6Cu2O7.71,68.6
3725,Y1Ba1Sr1Cu2.9Sn0.1O7.001,68.6
720,Eu0.9Pr0.1Ba2Cu3O7,68.3
1868,Y0.8Pr0.2Ba2Cu3O7.55,68.3
2360,La0.9Pr0.1Ba2Cu3O7,68.3
4037,Ho1Sr0.6Ba1.4Cu4O8,68.3
1396,Nd0.92Pr0.08Ba2Cu3O7,68.2
1191,Ho1Sr0.4Ba1.6Cu4O8,68.1
2866,Yb0.7Ca0.3Ba1.6Sr0.4Cu3O6.73,68.05
344,Dy1Ba2Cu2.9Ga0.1O6.7,68
1172,Lu0.7Ca0.3Ba2Cu3O6.4,68
2058,Y1Ba2Cu2.52Al0.48O6.74,68
2367,Y0.8Pr0.2Ba2Cu3O6.81,68
2566,Tl1Sr2Ca0.6Y0.4Cu2O7,68
3051,Y1Ba1Sr1Cu2.8Mo0.2O7.3,68
5021,Y1Ba2Cu2.82Ni0.18O7,68
5604,La0.9Ca0.1Ba1.5Sr0.5Cu3O6.847,68
5682,Gd0.85Pr0.15Ba2Cu3O7,67.9
266,Y1Ba1.9La0.1Cu4O7.8,67.8
265,Sm1Ba2Cu3O6.734,67.6
515,Y1Ba2Cu2.95Fe0.05O6.79,67.6
3463,Y1Ba2Cu2.94Zn0.06O6.97,67.6
3997,Bi1.7Pb0.3Sr2Ca1Cu2O8.27,67.6
479,Er0.75Ca0.25Ba2Cu3O6.88,67.5
3989,Y0.8Pr0.2Ba2Cu3O7.67,67.5
4963,Nd1Ba2Cu3O6.85,67.4
5329,Y0.8Ca0.2Ba2Cu3O6.59,67.3
1059,Yb0.7Pr0.3Ba2Cu3O6.87,67.2
3299,Y1Ba2Cu2.73Ga0.27O7,67.04
63,Dy1Ba2Cu2.9Ni0.1O6.74,67
639,Pb0.5Sr2Y0.6Ca0.4Cu2.5O6.97,67
1569,Y0.6Ca0.4Ba1.2La0.8Cu3O7.15,67
3967,Y1Ba2Cu2.97Zn0.03O6.77,67
1080,Bi1.7Pb0.3Sr2Ca0.7Y0.3Cu1.94Zn0.06O8,66.9
4501,Nd1Ba1.2Sr0.8Cu3O6.97,66.9
1431,Y0.8Pr0.2Ba2Cu4O8,66.78571429
3792,Y0.8Pr0.2Ba2Cu3O7.65,66.5
4930,Hg1.4Tl0.6Ba2Y0.3Ca0.7Cu2O7.68,66.4
4186,Y1Ba2Cu2.75Co0.25O7.06,66.2
2640,Y1Ba2Cu2.95Zn0.05O6.85,66.19
1007,Bi2Sr2Ca0.5Y0.5Cu2O8.39,66
3473,Y0.8Ca0.2Ba1.4La0.6Cu3O7.15,66
3990,La1Ba1Ca1Cu3O7,66
4361,Y0.76Ca0.24Ba2Cu2.64Co0.36O6.96,66
4638,Y1Ba2Cu2.4Ni0.6O6.94,66
4716,La1Ba1Ca1Cu3O6.856,66
4866,Ba1.6Sr0.4Yb0.75Ca0.25Cu3O6.51,66
4871,La0.5Sm0.5Ba1Ca1Cu3O7,66
5194,Lu0.75Pr0.25Ba1.7Sr0.3Cu3O6.9,66
5447,La0.95Ca0.05Ba1.5Sr0.5Cu3O6.878,66
4439,Gd0.9Mo0.1Ba2Cu3O6.907,65.9
4419,Y1Ba2Cu2.67Ga0.33O7,65.64
3086,Y0.9Pr0.1Ba2Cu3O6.8,65.6
3992,Nd1.1Ba1.9Cu3O7.05,65.5
2128,Y0.8Pr0.2Ba2Cu3O7.79,65.4
1289,Y1Ba2Cu2.55Ga0.45O7,65.36
12,Ba2Yb1Cu3O6.66,65.3
1154,Yb0.7Ca0.3Ba1.6Sr0.4Cu3O6.43,65.3
4214,Y0.9Ca0.1Ba2Cu3O6.6,65.3
4275,La1Ba1.5Sr0.5Cu3O6.967,65.2
59,Pb2Sr2Y0.64Ca0.36Cu3O8,65
236,Y1Ba2Cu2.94Zn0.06O6.95,65
1121,Eu0.8Pr0.2Ba2Cu3O6.7,65
1235,Nd1Ba1.6Ca0.4Cu3O6.828,65
1930,Ru0.8Sr2Y1Cu2.2O8.1,65
2344,Lu0.8Ca0.2Ba2Cu3O6.54,65
2718,Er1Ba2Cu2.82Ni0.18O7,65
3798,La0.25Sm0.75Ba1Ca1Cu3O7,65
4657,Y1Ba2Cu2.85Co0.15O7.03,65
4994,La2Ba4Cu6O13.8,65
5007,Y1Ba2Cu2.925Zn0.075O6.94,65
3386,Ca0.95Ce0.05Ba1La1Cu3O6.91,64.8
5103,Y1Ba2Cu2.61Ga0.39O7,64.8
2166,Y1Ba2Cu2.94Ni0.06O6.78,64.6
3228,Tm1Ba2Cu3O6.72,64.5
4082,Yb1Ba2Cu2.943Zn0.057O6.9,64.3
3353,Tm0.7Pr0.3Ba2Cu3O6.95,64.1
80,Bi2Sr2Ca0.6Y0.4Cu2O8.29,64
502,Y1Ba2Cu2.89Co0.11O7,64
1158,Ca1Ba1La1Cu3O6.97,64
2553,Y0.8Ca0.2Sr1Ba1Cu2.7Ga0.3O7,64
3070,Y1Ba2Cu2.88Zn0.12O6.95,64
4891,Nd1Ba1Sr1Cu3O6.92,64
5209,Er0.94Ca0.06Ba2Cu2.82Co0.18O6.76,64
4174,Y1Ba1Sr1Cu2.85Sn0.15O7.06,63.8
5026,Y1Ba2Cu2.9Fe0.1O6.85,63.8
4810,Y1Ba1Sr1Cu2.85Sn0.15O7.062,63.7
4164,Y0.7Pr0.3Ba2Cu4O8,63.66666667
1445,Pb2Sr2Ho0.5Ca0.5Cu2.982Al0.018O8,63.6
5008,Y1Ba2Cu2.925Zn0.075O6.85,63.6
566,Y1Ba2Cu3.939Ni0.061O8,63.5
5477,Bi1.7Pb0.3Sr2Ca0.6Y0.4Cu2O8,63.5
1050,Y1Ba2Cu2.4Ga0.6O7,63.31
1832,Y0.8Pr0.2Ba2Cu3O7.2,63.3
2439,Gd1Ba1.9Pr0.1Cu3O7.03,63.3
29,Nd1Ba2Cu3O6.78,63
902,Y1Ba2Cu3.964Ni0.036O8,63
1034,Y1Ba2Cu2.697Mn0.303O6.9,63
1446,Eu0.8Pr0.2Ba2Cu3O7,63
1926,Dy1Ba2Cu2.8Ni0.2O6.83,63
2265,Y1Ba2Cu3.972Zn0.028O8,63
3409,Y1Ba2Cu3.976Zn0.024O8,63
4111,Y1Ba2Cu2.05Al0.95O6.7,63
4664,Y0.6Pr0.4Ba2Cu4O7.95,63
1318,Y0.8Pr0.2Ba2Cu3O7.5,62.9
2859,Y1Ba2Cu3.96Mn0.04O8,62.8
699,Y1Ba1.7La0.3Cu4O7.8,62.7
1822,Y0.8Pr0.2Ba2Cu3O6.91,62.7
811,Y0.8Pr0.2Ba2Cu3O7.3,62.6
1377,Y0.8Ca0.2Ba2Cu3O6.51,62.6
517,Yb0.9Ca0.1Ba1.6Sr0.4Cu3O6.89,62.1
3298,Bi1.7Pb0.3Sr2Ca0.65Y0.35Cu1.94Zn0.06O8,62.1
3185,Y1Ba2Cu2.988Zn0.012O6.75,62
4443,Dy1Ba2Cu2.94Zn0.06O6.9,62
4995,Y1Ba2Cu2.4Fe0.6O7.453,62
3562,Y1Ba2Cu3O6.71,61.96666667
3600,Y1Ba2Cu2.97Zn0.03O6.76,61.4
2604,Er0.7Pr0.3Ba2Cu3O7,61.1
397,Y1Ba1.9La0.1Cu4O8,61
1020,Ru1Sr2Gd0.9Ca0.1Cu2O8,61
1939,Ba1.6Sr0.4Yb0.85Ca0.15Cu3O6.6,61
2885,Y1Ba1.87La0.13Cu4O8,61
3908,Y0.8Ca0.2Ba2Cu3O6.49,61
5497,Y1Ba2Cu2.94Zn0.06O6.84,60.8
2289,Bi1.7Pb0.3Sr2Ca0.75Y0.25Cu1.94Zn0.06O8,60.6
2953,Y0.7Pr0.3Ba2Cu3O6.942,60.6
2440,Y1Ba2Cu3O6.59,60.55
438,Nd1Ba2Cu3O6.23,60.5
963,Y0.6Pr0.4Ba1Sr1Cu3O6.9,60.5
2233,Y1Ba2Cu3O6.666,60.5
3768,Ca0.9Ce0.1Ba1La1Cu3O7.02,60.5
5440,Y1Ba1.8La0.2Cu4O7.9,60.1
313,Fe0.5Ba2Tm1Cu2.5O7.43,60
587,La1Ba0.8Ca1.2Cu3O7.11,60
910,Ca1La1Ba1Cu2.97Zn0.03O7,60
942,Ba1.6Sr0.4Yb1Cu3O6.75,60
1954,Y1Ba2Cu2.91Fe0.09O6.83,60
2814,Y1Ba2Cu2.994Zn0.006O6.63,60
2871,Y1Ba2Cu2.3Fe0.7O7.484,60
4105,Fe0.5Ba2Eu1Cu2.5O7.51,60
4119,Y0.9Ca0.1Ba1.5La0.5Cu3O7.13,60
4416,Y1Ba2Cu2.95Zn0.05O6.8,60
4401,La0.8Pr0.2Ba2Cu3O7,59.8
5296,Y0.8Pr0.2Ba2Cu3O7.4,59.8
5607,Sm1Ba2Cu3O6.709,59.8
4342,Y1Ba2Cu3O6.61,59.626
1891,Y1Ba2Cu3O6.64,59.53333333
323,Y1Ba2Cu3O6.602,59.4
2750,Y0.7Pr0.3Ba2Cu3O6.97,59.3
2703,Gd0.85Mo0.15Ba2Cu3O6.855,59.2
5011,Pb2Sr2Ho0.5Ca0.5Cu2.97Al0.03O8,59.1
337,Y0.85Pr0.15Ba2Cu3O6.8,59
988,Sm1Ba2Cu2.94Zn0.06O6.85,59
2601,La0.25Dy0.75Ba1Ca1Cu3O7,59
3309,Pb2Sr2Eu0.95Ca0.05Cu3O8,59
1398,Y1Ba2Cu3O6.556,58.95
2626,Y1Ba2Cu2.8Fe0.2O6.9,58.8
4533,Y1Ba1Sr1Cu3O6.83,58.5
500,Dy1Ba2Cu2.8Fe0.2O6.93,58
675,Y1Ba2Cu2.775Co0.225O6.99,58
2821,Y1Ba2Cu2.97Zn0.03O6.75,58
4941,Lu0.7Ca0.3Ba2Cu3O6.15,58
1976,Y0.9Ca0.1Ba1.5La0.5Cu3O7.19,57.9
2973,Eu0.8Pr0.2Ba2Cu3O6.97,57.9
144,Y1Ba2Cu2.982Zn0.018O6.75,57.8
1068,Y1Ba2Cu2.8Fe0.2O6.85,57.7
2778,Y1Ba2Cu3O6.829,57.7
4934,Gd0.8Pr0.2Ba2Cu3O7,57.7
797,Y0.8Pr0.2Ba2Cu3O7.1,57.6
5213,Y0.7Pr0.3Ba2Cu3O6.98,57.4
5135,Nd0.95Pr0.05Ba2Cu3O6.85,57.2
1401,La1Ba1.5Sr0.5Cu3O6.948,57.1
4991,La0.7Pr0.3Ba2Cu3O7,57.1
